Row Labels,Number_of_assigned_group,BUSINESS_COMPLETION_HRS
IN10129829,1,988.54
IN10063964,3,988.55
IN10144399,1,988.85
IN10202298,1,988.93
IN10132633,1,988.95
IN10159438,1,989.37
IN10075566,3,990
IN10226979,1,990
IN10079914,3,990.1
IN10219133,2,990.79
IN10170166,2,990.87
IN10092356,1,991.65
IN10089635,2,992.07
IN10089717,1,992.09
IN10144084,1,992.42
IN10144083,1,992.43
IN10209546,1,992.5
IN10154615,2,992.62
IN10189494,3,992.7
IN10079004,1,992.98
IN10171907,1,993.23
IN10146673,1,993.27
IN10237682,3,993.27
IN10032819,2,993.58
IN10149887,2,993.7
IN10148857,2,993.92
IN10162967,2,993.93
IN10170326,1,994.3
IN10125724,2,994.31
IN10144217,1,994.55
IN10186513,2,994.57
IN10161933,3,994.9
IN10112892,2,995.1
IN10087798,2,995.28
IN10142091,4,995.53
IN10177064,2,995.62
IN10050786,4,995.75
IN10256044,2,995.92
IN10258700,1,995.93
IN10255213,1,996.23
IN10115277,1,996.4
IN10112857,3,996.42
IN10180381,4,996.47
IN10046812,1,996.52
IN10170263,1,996.65
IN10170264,1,996.68
IN10252793,1,997.76
IN10031025,2,997.8
IN10200228,1,998.05
IN10073180,3,998.22
IN10207963,1,998.3
IN10167921,3,998.42
IN10255091,2,998.69
IN10147203,2,998.75
IN10092209,2,999.18
IN10170218,1,999.25
IN10224347,1,999.42
IN10191053,2,999.47
IN10100782,3,999.55
IN10139965,2,999.57
IN10061223,1,999.58
IN10169774,3,999.77
IN10145044,1,1000.17
IN10260304,1,1000.55
IN10143075,5,1000.93
IN10184399,1,1000.95
IN10102014,1,1001.05
IN10220255,2,1001.25
IN10199906,2,1001.28
IN10123583,5,1001.89
IN10120547,1,1001.93
IN10218854,2,1001.93
IN10217779,1,1002.01
IN10042461,2,1002.38
IN10170854,1,1002.45
IN10143734,1,1002.52
IN10033096,1,1002.53
IN10195845,4,1002.93
IN10157245,1,1003.35
IN10099698,1,1003.65
IN10057343,2,1003.67
IN10259742,3,1004.55
IN10037041,7,1004.69
IN10098158,2,1004.86
IN10177815,2,1004.89
IN10078568,1,1004.98
IN10210996,1,1005.01
IN10173690,1,1005.07
IN10087664,2,1005.25
IN10195989,1,1005.3
IN10129658,2,1005.52
IN10170855,1,1005.76
IN10170052,1,1005.83
IN10089352,2,1006.08
IN10175307,1,1006.15
IN10170040,1,1006.17
IN10036969,3,1006.27
IN10066693,2,1006.53
IN10192064,1,1007.5
IN10093052,3,1007.64
IN10031399,1,1007.78
IN10097587,1,1008.05
IN10190709,1,1008.12
IN10050560,4,1008.18
IN10173591,1,1008.3
IN10110843,1,1008.33
IN10163336,2,1008.43
IN10162375,1,1008.7
IN10160517,3,1008.73
IN10086958,1,1009.34
IN10165378,1,1009.35
IN10030913,2,1009.44
IN10156542,1,1009.48
IN10163138,3,1010
IN10243333,1,1010.1
IN10123290,2,1010.49
IN10098934,1,1011.02
IN10133285,3,1011.25
IN10184856,4,1011.27
IN10224111,1,1011.3
IN10172695,4,1011.45
IN10104339,5,1011.9
IN10034086,1,1011.97
IN10191458,1,1012
IN10033024,1,1012.23
IN10098835,2,1012.32
IN10115768,1,1012.5
IN10093857,2,1012.83
IN10185213,1,1012.86
IN10261445,1,1013.2
IN10052732,2,1013.51
IN10133500,2,1013.82
IN10030234,1,1013.85
IN10256503,3,1013.92
IN10218561,2,1014.07
IN10077386,1,1014.38
IN10205216,1,1014.68
IN10230931,2,1015
IN10081366,2,1015.3
IN10114883,1,1015.53
IN10078321,1,1015.9
IN10132568,1,1015.99
IN10254777,1,1016.25
IN10034601,2,1016.38
IN10112064,4,1016.42
IN10031463,1,1016.53
IN10157464,1,1016.57
IN10164511,1,1016.9
IN10164512,1,1016.9
IN10164473,1,1016.92
IN10031272,1,1016.98
IN10072555,4,1017.52
IN10251834,1,1017.7
IN10071030,1,1017.91
IN10082771,1,1017.97
IN10109216,1,1018.22
IN10195494,1,1018.93
IN10231091,1,1019.02
IN10189242,2,1019.23
IN10169950,1,1019.43
IN10031192,1,1019.62
IN10184728,3,1019.7
IN10195890,1,1020
IN10086702,1,1020.1
IN10169868,1,1020.35
IN10224548,1,1020.6
IN10100677,2,1021.3
IN10133274,1,1022.45
IN10053638,4,1022.6
IN10155365,2,1023
IN10147855,1,1023.43
IN10151024,6,1023.57
IN10221959,1,1023.82
IN10196895,1,1023.97
IN10083730,2,1025.17
IN10175867,1,1025.35
IN10036559,4,1025.95
IN10102391,2,1026.3
IN10205719,1,1026.4
IN10119251,1,1026.6
IN10211930,3,1027.55
IN10169581,1,1027.81
IN10202201,1,1027.83
IN10059071,1,1028
IN10113458,2,1028.78
IN10169567,1,1028.8
IN10200763,1,1028.8
IN10105689,4,1028.88
IN10195538,3,1029.03
IN10248291,2,1029.05
IN10074795,3,1029.2
IN10248195,7,1029.45
IN10179572,1,1029.5
IN10088418,1,1029.53
IN10169546,1,1029.6
IN10088692,3,1030
IN10238725,1,1030
IN10060467,7,1030.02
IN10087435,3,1030.02
IN10140057,3,1030.15
IN10034900,1,1030.2
IN10195405,2,1030.31
IN10169636,1,1030.32
IN10162638,2,1030.33
IN10169638,1,1030.33
IN10169616,1,1030.42
IN10222256,4,1030.93
IN10087360,4,1031.15
IN10099042,2,1031.37
IN10064761,2,1031.45
IN10209580,1,1031.65
IN10245470,1,1031.92
IN10178993,3,1032.33
IN10171895,1,1032.38
IN10031080,2,1032.4
IN10169010,1,1032.62
IN10104119,1,1032.68
IN10033988,1,1033.72
IN10056704,1,1034.01
IN10033790,1,1034.45
IN10185076,2,1034.68
IN10236505,1,1034.98
IN10031345,3,1035.07
IN10193020,1,1035.08
IN10033571,1,1035.13
IN10193060,2,1035.17
IN10169296,1,1035.32
IN10087239,3,1035.38
IN10028975,1,1035.6
IN10039433,1,1035.92
IN10145885,2,1036.3
IN10155831,1,1036.45
IN10168630,1,1036.46
IN10236780,4,1036.72
IN10146295,4,1036.75
IN10070711,1,1037.03
IN10229470,1,1037.25
IN10034337,3,1037.68
IN10172891,1,1038.27
IN10057636,1,1038.32
IN10046682,1,1038.66
IN10261695,1,1039.33
IN10111615,4,1039.36
IN10067713,4,1039.6
IN10074904,4,1039.7
IN10198548,5,1040.05
IN10074833,3,1040.18
IN10111725,2,1040.57
IN10158639,1,1040.83
IN10167666,2,1040.87
IN10258434,2,1040.95
IN10229996,1,1040.97
IN10167652,2,1041.92
IN10178742,2,1042.46
IN10104745,3,1042.5
IN10242034,1,1042.55
IN10159681,5,1042.78
IN10144844,1,1043.03
IN10101355,1,1043.05
IN10257773,1,1043.15
IN10207984,3,1043.25
IN10122683,3,1043.5
IN10054172,4,1043.8
IN10159555,1,1043.82
IN10079086,2,1044.25
IN10217446,2,1044.34
IN10138285,2,1044.48
IN10034151,3,1044.75
IN10033705,1,1044.82
IN10168166,2,1044.95
IN10200577,3,1046.18
IN10131040,2,1046.23
IN10110799,1,1046.39
IN10188188,1,1046.45
IN10091000,3,1046.55
IN10220224,2,1046.98
IN10198586,2,1047.01
IN10154771,1,1047.35
IN10262192,1,1047.45
IN10237903,1,1047.84
IN10246042,1,1047.98
IN10192137,1,1048
IN10116319,1,1048.15
IN10033171,1,1048.55
IN10223729,1,1048.63
IN10175225,2,1048.98
IN10204507,4,1049.28
IN10152279,5,1049.3
IN10084510,1,1049.43
IN10111473,1,1049.53
IN10211440,1,1049.53
IN10194820,3,1049.65
IN10086356,1,1049.75
IN10029889,1,1049.92
IN10223630,1,1050
IN10248478,3,1050
IN10036307,4,1050.45
IN10032514,2,1050.53
IN10205608,1,1050.79
IN10037457,1,1051.4
IN10153525,1,1051.62
IN10145467,1,1051.81
IN10117619,1,1052.03
IN10154232,1,1052.03
IN10212330,1,1052.13
IN10059688,1,1052.17
IN10142969,2,1052.43
IN10232217,1,1052.82
IN10154176,1,1053.32
IN10100309,1,1053.35
IN10217556,6,1053.6
IN10162152,4,1053.78
IN10196111,3,1053.82
IN10155802,1,1054.02
IN10102517,2,1054.08
IN10078803,1,1054.15
IN10216464,1,1054.15
IN10163616,1,1054.29
IN10062975,1,1054.3
IN10255159,2,1054.62
IN10255139,2,1054.65
IN10130081,2,1054.85
IN10036267,1,1054.92
IN10031374,2,1054.93
IN10249499,1,1055.39
IN10138443,2,1055.6
IN10037708,1,1055.72
IN10091056,2,1055.75
IN10115655,3,1056.06
IN10064958,2,1056.2
IN10221784,3,1056.25
IN10148622,3,1056.28
IN10125038,4,1056.37
IN10057256,6,1056.96
IN10209114,2,1057.4
IN10239152,1,1057.95
IN10154125,1,1058.18
IN10028734,1,1058.43
IN10072597,2,1058.59
IN10070395,4,1058.67
IN10253949,1,1058.7
IN10122263,2,1058.85
IN10151848,3,1059.07
IN10030618,1,1059.3
IN10178749,3,1059.43
IN10239743,5,1059.9
IN10033302,1,1060
IN10248517,1,1060.02
IN10076159,1,1060.18
IN10086789,1,1060.43
IN10116754,2,1060.49
IN10032607,2,1061.12
IN10230311,2,1061.23
IN10140986,3,1061.55
IN10151012,1,1061.62
IN10245680,1,1062.1
IN10254930,3,1063.02
IN10138522,2,1063.1
IN10170352,1,1063.2
IN10221453,1,1063.52
IN10059891,5,1063.63
IN10176207,1,1063.99
IN10098136,2,1064.23
IN10127273,4,1064.33
IN10155880,3,1064.42
IN10178374,3,1065.03
IN10210930,2,1065.19
IN10142341,1,1065.37
IN10204104,1,1065.68
IN10157551,3,1066.25
IN10235979,5,1066.46
IN10080316,3,1066.92
IN10034291,6,1067.4
IN10218026,1,1067.41
IN10182131,2,1067.55
IN10036434,4,1067.9
IN10064777,3,1067.91
IN10135482,7,1068.18
IN10063465,3,1068.31
IN10197154,3,1069.21
IN10077545,1,1069.35
IN10096014,1,1070
IN10179281,1,1070.1
IN10123964,1,1070.23
IN10211854,1,1070.45
IN10062097,1,1070.48
IN10031665,3,1070.77
IN10030047,1,1070.87
IN10158664,1,1071.42
IN10088543,4,1071.73
IN10072389,2,1071.74
IN10138653,1,1071.9
IN10033002,6,1071.93
IN10192122,1,1071.95
IN10146825,1,1072.35
IN10116144,4,1072.4
IN10196360,1,1072.47
IN10095005,2,1072.68
IN10087761,4,1072.75
IN10146041,5,1073.03
IN10214711,4,1073.03
IN10186727,1,1073.33
IN10189372,2,1073.56
IN10166677,1,1073.74
IN10175377,2,1073.78
IN10161039,1,1073.88
IN10255635,1,1074.35
IN10253839,1,1074.63
IN10223298,3,1075.68
IN10044712,1,1075.82
IN10145652,2,1075.85
IN10032544,2,1075.87
IN10152198,3,1076.3
IN10207913,2,1076.55
IN10253709,1,1076.67
IN10216949,2,1076.7
IN10050755,6,1076.8
IN10154859,1,1077.54
IN10141468,3,1077.79
IN10168775,1,1077.98
IN10033409,1,1078.35
IN10055472,1,1078.57
IN10220261,1,1078.67
IN10226876,1,1079.05
IN10258337,1,1079.08
IN10193484,1,1079.11
IN10155730,2,1079.16
IN10032664,2,1079.59
IN10238577,1,1079.74
IN10032551,4,1079.99
IN10077013,3,1080
IN10161560,2,1080
IN10231343,1,1080
IN10160729,2,1080.16
IN10166467,1,1080.27
IN10250463,1,1080.27
IN10112628,1,1080.28
IN10166503,1,1080.33
IN10216674,1,1080.39
IN10166494,1,1080.42
IN10166457,1,1080.43
IN10031173,6,1080.63
IN10211701,2,1080.82
IN10032176,2,1080.87
IN10130198,1,1081.1
IN10166448,1,1081.17
IN10260424,5,1081.43
IN10113264,1,1081.47
IN10064166,5,1081.85
IN10154165,1,1082.17
IN10039779,1,1082.2
IN10166492,1,1082.38
IN10247906,2,1082.5
IN10231206,1,1082.55
IN10179239,1,1082.91
IN10207514,1,1083.04
IN10235836,3,1083.35
IN10051760,3,1083.52
IN10170890,2,1083.6
IN10173843,1,1083.67
IN10166846,1,1083.85
IN10166409,1,1084.05
IN10043908,8,1084.07
IN10161676,4,1084.11
IN10256266,7,1084.9
IN10189004,2,1084.91
IN10152159,2,1086.15
IN10188240,1,1086.21
IN10034212,4,1086.22
IN10033029,2,1086.28
IN10156149,3,1086.72
IN10183159,1,1086.78
IN10190820,4,1086.78
IN10246111,2,1086.83
IN10222235,6,1087.07
IN10261931,1,1087.38
IN10033517,3,1087.58
IN10202180,1,1087.91
IN10219316,1,1088.47
IN10212405,1,1088.58
IN10169892,2,1089.03
IN10032793,3,1089.07
IN10102382,4,1089.22
IN10067894,4,1089.47
IN10086411,3,1089.98
IN10030572,1,1090
IN10033017,3,1090
IN10207530,2,1090.23
IN10069864,5,1090.28
IN10113446,4,1090.64
IN10093462,2,1090.73
IN10203106,1,1090.73
IN10075083,3,1090.9
IN10075077,2,1090.92
IN10166230,1,1091.55
IN10176931,2,1091.92
IN10235368,2,1092.2
IN10209279,1,1092.4
IN10209425,1,1092.43
IN10167545,1,1092.67
IN10169789,2,1092.74
IN10080871,1,1093.16
IN10069955,1,1093.3
IN10072512,3,1093.38
IN10191463,1,1093.4
IN10088526,5,1093.41
IN10028742,1,1093.7
IN10178045,1,1093.73
IN10142658,1,1093.82
IN10033998,2,1094
IN10137392,1,1094.12
IN10160885,3,1094.65
IN10165984,1,1094.65
IN10110448,2,1094.68
IN10166030,1,1094.7
IN10166063,1,1094.75
IN10064768,2,1094.85
IN10102351,1,1094.98
IN10179432,5,1095.1
IN10178021,4,1095.45
IN10030718,6,1095.55
IN10261970,2,1095.55
IN10102926,2,1095.65
IN10040348,1,1095.67
IN10165180,1,1096.15
IN10218916,1,1096.25
IN10253042,1,1096.28
IN10096203,2,1096.32
IN10034030,2,1096.47
IN10248509,1,1097.02
IN10035641,3,1097.13
IN10165958,1,1097.27
IN10112928,1,1097.4
IN10213509,1,1097.48
IN10135858,3,1097.63
IN10206223,2,1097.98
IN10099268,3,1098.5
IN10163492,1,1098.87
IN10097580,6,1098.98
IN10233998,1,1099.32
IN10056282,6,1099.45
IN10193793,2,1099.84
IN10247567,1,1099.92
IN10194400,1,1099.93
IN10142789,1,1101.48
IN10145751,1,1103.05
IN10258240,4,1103.45
IN10247830,3,1103.49
IN10055714,1,1103.5
IN10203324,1,1103.53
IN10184970,1,1103.63
IN10193189,4,1103.82
IN10239112,2,1104.15
IN10235949,4,1104.3
IN10106502,2,1104.43
IN10094240,1,1104.88
IN10168023,1,1105.22
IN10172071,1,1105.27
IN10217829,1,1105.54
IN10226653,2,1105.8
IN10104820,1,1105.95
IN10129787,1,1106.07
IN10067866,1,1106.17
IN10252843,1,1106.33
IN10220157,1,1106.43
IN10256433,1,1106.72
IN10195290,5,1107.37
IN10129697,1,1107.6
IN10117933,2,1107.9
IN10071232,1,1108
IN10170935,3,1108.04
IN10189563,2,1108.28
IN10081656,3,1108.38
IN10114547,1,1108.5
IN10093173,1,1108.55
IN10128949,2,1108.68
IN10226075,2,1108.88
IN10030625,3,1109.45
IN10079660,3,1110
IN10199461,3,1110
IN10225866,1,1110.3
IN10058886,1,1110.91
IN10033056,2,1111.13
IN10190984,1,1111.32
IN10036386,1,1111.4
IN10173598,1,1112.32
IN10243134,1,1112.87
IN10218517,5,1112.97
IN10033661,1,1113.64
IN10137502,2,1113.7
IN10154164,1,1113.99
IN10171913,1,1114.1
IN10062670,2,1114.4
IN10247086,1,1115.23
IN10031732,1,1115.3
IN10031742,1,1115.32
IN10031710,1,1115.38
IN10177110,4,1115.38
IN10104066,1,1115.75
IN10106092,1,1116.13
IN10069879,1,1116.3
IN10238891,1,1116.33
IN10048477,6,1116.42
IN10141585,1,1116.72
IN10186203,1,1116.85
IN10161957,1,1116.93
IN10154131,1,1117
IN10203904,1,1118
IN10030453,3,1118.3
IN10033798,2,1118.4
IN10127280,6,1118.47
IN10090508,1,1119.25
IN10233452,2,1119.75
IN10134477,1,1119.83
IN10076370,2,1120
IN10222733,1,1120.05
IN10154928,1,1120.2
IN10056764,1,1120.21
IN10097014,2,1121.02
IN10167641,3,1121.16
IN10167639,3,1121.3
IN10050831,2,1121.53
IN10183638,4,1122.08
IN10238807,1,1122.25
IN10183051,3,1123.8
IN10114371,1,1123.82
IN10077093,1,1124.5
IN10113746,2,1124.73
IN10169263,2,1124.98
IN10142075,3,1126.21
IN10252407,1,1126.27
IN10252309,1,1126.32
IN10109678,4,1126.45
IN10100488,3,1126.55
IN10173532,2,1126.82
IN10177002,3,1126.99
IN10068601,1,1127.5
IN10175520,2,1128.45
IN10100242,1,1128.49
IN10032194,1,1128.82
IN10234815,1,1130
IN10086829,1,1130.56
IN10191919,1,1131.66
IN10029432,1,1132.18
IN10193320,4,1132.35
IN10152337,4,1132.57
IN10249905,4,1132.57
IN10078240,2,1133
IN10105463,1,1133.25
IN10253957,1,1133.27
IN10215527,1,1134.38
IN10115886,2,1134.45
IN10057338,2,1135.22
IN10031516,2,1135.53
IN10178000,1,1135.55
IN10196173,5,1135.77
IN10194217,1,1135.95
IN10081196,3,1136.23
IN10241980,1,1136.7
IN10195043,2,1136.9
IN10210523,3,1136.93
IN10051521,1,1137.69
IN10065416,10,1140.99
IN10128034,4,1141.1
IN10058361,1,1141.12
IN10217975,5,1141.43
IN10153879,3,1141.73
IN10198607,2,1141.95
IN10157117,1,1142.1
IN10154160,1,1142.57
IN10043238,3,1142.6
IN10158491,3,1142.79
IN10128228,2,1143.1
IN10029443,4,1143.52
IN10150537,2,1143.62
IN10110646,4,1144.2
IN10039110,2,1144.37
IN10139591,1,1144.41
IN10218708,4,1144.42
IN10154138,1,1144.57
IN10225033,1,1144.8
IN10166447,1,1145.12
IN10133329,1,1145.37
IN10094030,2,1145.5
IN10032029,4,1145.72
IN10173254,2,1145.88
IN10034890,2,1146.53
IN10051140,3,1146.53
IN10193750,1,1146.73
IN10055239,3,1146.85
IN10166427,1,1146.95
IN10166421,1,1147.3
IN10138075,2,1148.06
IN10167475,1,1148.15
IN10087873,4,1148.2
IN10166406,1,1148.31
IN10166405,1,1148.32
IN10192902,1,1149.45
IN10170272,1,1149.85
IN10032611,1,1150
IN10237811,5,1150
IN10130149,1,1150.1
IN10158003,1,1150.22
IN10105794,1,1150.99
IN10216773,1,1151.03
IN10215093,2,1151.32
IN10105889,5,1151.45
IN10152451,4,1151.96
IN10221240,8,1152.08
IN10166918,1,1152.75
IN10192096,1,1152.75
IN10152355,4,1153.25
IN10168151,1,1153.5
IN10166826,2,1153.66
IN10153983,1,1153.87
IN10117909,1,1153.98
IN10166300,1,1154.03
IN10126884,1,1154.05
IN10086990,1,1154.07
IN10211058,3,1154.1
IN10250984,1,1154.16
IN10145002,1,1154.65
IN10194700,2,1155
IN10166237,1,1155.05
IN10080589,1,1155.68
IN10130044,1,1155.87
IN10166216,1,1156.1
IN10077943,1,1156.28
IN10163328,1,1156.4
IN10152278,2,1156.45
IN10201052,1,1156.5
IN10167320,1,1156.8
IN10135991,1,1156.82
IN10097289,2,1156.92
IN10055454,3,1157.55
IN10127810,2,1157.7
IN10089777,2,1157.73
IN10166727,1,1157.87
IN10038784,2,1157.89
IN10166916,1,1158.23
IN10093035,1,1158.43
IN10165254,2,1158.8
IN10166705,1,1159.25
IN10166703,1,1159.48
IN10166135,1,1159.95
IN10166122,1,1160
IN10245557,1,1160.25
IN10199735,3,1160.85
IN10166886,1,1161
IN10147967,3,1161.02
IN10167222,1,1161.24
IN10222549,4,1161.38
IN10086176,1,1161.7
IN10166739,1,1162.25
IN10195419,1,1162.32
IN10107171,3,1162.36
IN10217067,1,1162.65
IN10042169,5,1162.82
IN10031609,1,1162.9
IN10099664,1,1163.57
IN10165990,1,1163.62
IN10166062,1,1163.73
IN10259208,1,1163.85
IN10065286,4,1163.98
IN10095629,3,1164.02
IN10176246,1,1164.25
IN10165977,1,1164.32
IN10032409,1,1164.45
IN10088371,1,1164.54
IN10092587,2,1164.6
IN10055646,2,1165.27
IN10206260,4,1165.27
IN10166726,1,1165.35
IN10165964,1,1165.68
IN10140581,1,1165.83
IN10166737,1,1165.95
IN10215040,2,1166.38
IN10108721,1,1166.45
IN10094139,2,1166.71
IN10167046,1,1166.75
IN10166730,1,1167.47
IN10166746,1,1168.3
IN10138128,1,1168.44
IN10184092,1,1168.55
IN10224358,1,1168.82
IN10058316,3,1168.83
IN10166902,1,1168.97
IN10144990,2,1169.9
IN10080812,3,1169.95
IN10203877,1,1170
IN10166016,1,1170.25
IN10166018,1,1170.27
IN10071041,2,1170.34
IN10247305,2,1170.65
IN10214783,2,1170.77
IN10198933,4,1171.1
IN10166874,1,1171.11
IN10217314,1,1171.13
IN10111059,1,1171.53
IN10129404,3,1171.56
IN10193687,2,1171.86
IN10224193,2,1171.92
IN10032369,2,1172.1
IN10067091,1,1172.32
IN10251890,2,1172.52
IN10033905,1,1173.02
IN10165711,1,1173.28
IN10165797,1,1173.3
IN10165783,1,1173.33
IN10165817,1,1173.37
IN10084133,1,1173.61
IN10077858,2,1173.66
IN10218993,4,1173.83
IN10087539,4,1174.12
IN10075958,1,1174.5
IN10091563,1,1174.68
IN10179548,1,1174.9
IN10072027,1,1174.91
IN10129192,2,1174.97
IN10228567,3,1175.05
IN10038552,2,1176.17
IN10097839,4,1176.22
IN10034771,1,1176.5
IN10114352,2,1176.67
IN10135479,1,1176.67
IN10045620,1,1176.68
IN10032310,2,1176.7
IN10089363,3,1177.08
IN10103541,3,1177.12
IN10176516,2,1177.21
IN10032985,2,1177.23
IN10166385,1,1177.45
IN10136485,5,1177.9
IN10072010,2,1178.23
IN10201526,1,1178.43
IN10133550,2,1178.9
IN10044049,3,1178.91
IN10166220,1,1179.47
IN10188666,1,1179.48
IN10193771,4,1180.15
IN10217587,2,1180.29
IN10063090,1,1180.53
IN10032291,1,1180.63
IN10124574,4,1181.08
IN10251205,1,1181.3
IN10165416,1,1181.42
IN10163065,1,1181.52
IN10068568,10,1181.58
IN10123600,1,1181.97
IN10032191,1,1182.32
IN10035356,1,1182.58
IN10165357,1,1183.18
IN10098695,1,1183.22
IN10127713,2,1184.08
IN10165299,1,1184.2
IN10250897,1,1184.45
IN10139100,1,1184.5
IN10063467,2,1184.73
IN10190064,2,1184.75
IN10240578,5,1184.82
IN10075844,1,1184.85
IN10205181,2,1184.98
IN10114476,2,1185.45
IN10224569,1,1186.37
IN10123415,1,1186.4
IN10127884,1,1186.8
IN10216647,1,1187.27
IN10127873,1,1187.58
IN10251885,2,1187.93
IN10153763,1,1188
IN10034662,2,1188.68
IN10033163,4,1188.81
IN10151587,1,1189
IN10138207,2,1189.63
IN10116926,4,1189.72
IN10261610,2,1189.74
IN10029093,5,1189.77
IN10117786,1,1189.78
IN10242004,6,1189.87
IN10253676,4,1190
IN10244246,9,1190.16
IN10055344,1,1190.29
IN10132880,1,1190.42
IN10110858,9,1191.58
IN10222631,2,1191.82
IN10250910,3,1192.33
IN10216883,4,1192.52
IN10056480,1,1193.28
IN10064360,2,1193.28
IN10195864,1,1193.65
IN10092397,1,1194.4
IN10075747,1,1194.43
IN10179125,2,1194.63
IN10169886,4,1194.9
IN10245046,3,1195.3
IN10073234,3,1195.97
IN10191997,5,1196.31
IN10058600,2,1196.45
IN10215288,2,1196.55
IN10224326,1,1196.7
IN10170512,3,1197.47
IN10072856,1,1197.52
IN10145058,2,1197.62
IN10250758,1,1197.65
IN10166227,1,1197.9
IN10152008,2,1198.45
IN10065228,7,1198.49
IN10219849,4,1199.05
IN10188492,1,1199.12
IN10110802,1,1199.15
IN10092256,1,1199.28
IN10225245,4,1199.59
IN10257113,1,1200.25
IN10113881,3,1200.95
IN10251343,1,1200.97
IN10254251,5,1201.53
IN10110423,1,1201.55
IN10055357,2,1201.63
IN10189305,3,1201.7
IN10067477,11,1201.78
IN10169666,2,1201.83
IN10233653,1,1202.3
IN10162552,1,1202.57
IN10154913,3,1202.68
IN10151127,1,1202.84
IN10112644,3,1202.93
IN10131340,2,1203.38
IN10052271,2,1203.48
IN10187574,2,1203.57
IN10187836,1,1203.57
IN10165055,5,1203.8
IN10183904,3,1203.87
IN10229668,2,1203.97
IN10040030,3,1204.33
IN10068485,1,1204.43
IN10107864,1,1204.45
IN10193110,2,1204.51
IN10243815,2,1205.58
IN10047860,1,1205.7
IN10041685,1,1206.1
IN10142288,4,1206.12
IN10030224,3,1206.15
IN10032558,1,1206.35
IN10171143,4,1207.5
IN10223836,1,1208.27
IN10061586,2,1208.63
IN10030306,3,1208.72
IN10142140,1,1208.9
IN10064042,3,1209.36
IN10152798,2,1209.54
IN10188248,2,1209.55
IN10033952,1,1209.77
IN10102169,1,1209.78
IN10031216,1,1209.82
IN10153484,2,1209.87
IN10063411,1,1209.92
IN10163444,2,1209.95
IN10223486,1,1210.62
IN10182675,3,1211.4
IN10185954,2,1211.95
IN10030920,2,1212.05
IN10126473,2,1212.05
IN10145321,5,1212.35
IN10222169,1,1212.53
IN10161787,1,1213.14
IN10030157,2,1213.25
IN10241800,2,1213.3
IN10199979,7,1213.37
IN10067464,1,1213.55
IN10222131,2,1213.72
IN10035906,1,1213.81
IN10162989,1,1214.43
IN10223715,1,1214.5
IN10055342,1,1214.85
IN10145104,1,1215.01
IN10166174,1,1215.13
IN10077979,1,1215.3
IN10154128,1,1215.35
IN10030114,2,1215.72
IN10092389,1,1216.2
IN10220534,2,1216.51
IN10031268,2,1216.62
IN10252688,1,1216.82
IN10252689,1,1216.85
IN10047855,2,1217.59
IN10178974,4,1217.76
IN10166204,1,1217.88
IN10150802,1,1218.18
IN10101656,2,1218.73
IN10227100,2,1219.02
IN10193389,2,1219.06
IN10186820,1,1220.02
IN10152346,3,1220.66
IN10162143,1,1221.48
IN10103849,2,1221.93
IN10165130,1,1222
IN10252904,4,1222.7
IN10172544,1,1223.22
IN10242693,1,1224.42
IN10261908,1,1224.57
IN10096911,1,1224.77
IN10095892,1,1224.88
IN10033853,1,1225.3
IN10166210,1,1225.44
IN10187808,3,1226.55
IN10170282,1,1226.66
IN10146316,1,1226.73
IN10159509,2,1227.15
IN10036783,2,1227.37
IN10031759,1,1227.45
IN10070061,1,1227.68
IN10126877,1,1227.96
IN10058056,1,1227.98
IN10139913,1,1228.08
IN10120954,1,1228.38
IN10055794,5,1228.5
IN10192732,3,1229.04
IN10192725,3,1229.05
IN10196570,2,1230.08
IN10077892,2,1230.58
IN10230102,3,1231.07
IN10167157,2,1231.3
IN10064730,3,1231.57
IN10251879,2,1232.35
IN10165066,1,1233
IN10166052,1,1233.15
IN10155898,6,1233.31
IN10162406,1,1233.35
IN10039143,1,1233.47
IN10071763,3,1233.9
IN10131906,1,1233.9
IN10057328,1,1234.47
IN10057339,1,1234.53
IN10098308,1,1235.1
IN10196001,1,1235.2
IN10087825,2,1236.48
IN10257242,1,1236.57
IN10179562,2,1236.58
IN10172570,1,1237.12
IN10099699,1,1237.18
IN10154612,1,1237.32
IN10210058,5,1238.2
IN10107403,1,1238.47
IN10208070,1,1238.48
IN10137222,1,1238.65
IN10087875,6,1238.98
IN10261893,1,1239.25
IN10169891,1,1239.67
IN10133244,3,1240
IN10162161,1,1240
IN10162166,1,1240
IN10189559,1,1240.15
IN10170194,2,1240.28
IN10150493,1,1240.6
IN10172239,2,1240.66
IN10112747,1,1240.85
IN10166100,3,1240.88
IN10186615,1,1241.13
IN10190666,3,1241.13
IN10250640,6,1241.13
IN10166607,2,1241.47
IN10075418,1,1241.62
IN10172152,1,1242.47
IN10166070,3,1242.53
IN10172094,1,1242.62
IN10166631,1,1243.03
IN10236105,1,1243.32
IN10170587,2,1243.33
IN10174174,3,1243.44
IN10166658,3,1243.62
IN10215901,1,1243.75
IN10170880,2,1244.12
IN10170165,1,1244.5
IN10168619,2,1245.17
IN10126640,1,1245.71
IN10173957,2,1245.75
IN10169506,2,1245.77
IN10251146,4,1245.77
IN10254192,1,1246.24
IN10046903,5,1247.18
IN10031598,2,1247.25
IN10209606,2,1247.32
IN10249714,1,1247.36
IN10212069,2,1247.49
IN10034791,5,1247.52
